34588 [main] DEBUG devpinoyLogger  - Reading data from Excel
34712 [main] DEBUG devpinoyLogger  - Fetching the data from excel
34724 [main] DEBUG devpinoyLogger  - Entering invalid login Entering details
34726 [Forwarding findElement on session 074fe5e2-d2bd-4f5b-a40b-d4ea34ffba45 to remote] DEBUG org.apache.http.client.protocol.RequestAddCookies  - CookieSpec selected: default
34726 [Forwarding findElement on session 074fe5e2-d2bd-4f5b-a40b-d4ea34ffba45 to remote] DEBUG org.apache.http.client.protocol.RequestAuthCache  - Auth cache not set in the context
34726 [Forwarding findElement on session 074fe5e2-d2bd-4f5b-a40b-d4ea34ffba45 to remote] DEBUG org.apache.http.impl.conn.PoolingHttpClientConnectionManager  - Connection request: [route: {}->http://localhost:10800][total kept alive: 1; route allocated: 1 of 2000; total allocated: 1 of 2000]
34728 [Forwarding findElement on session 074fe5e2-d2bd-4f5b-a40b-d4ea34ffba45 to remote] DEBUG org.apache.http.wire  - http-outgoing-0 << "[read] I/O error: Read timed out"
34728 [Forwarding findElement on session 074fe5e2-d2bd-4f5b-a40b-d4ea34ffba45 to remote] DEBUG org.apache.http.impl.conn.PoolingHttpClientConnectionManager  - Connection leased: [id: 0][route: {}->http://localhost:10800][total kept alive: 0; route allocated: 1 of 2000; total allocated: 1 of 2000]
34728 [Forwarding findElement on session 074fe5e2-d2bd-4f5b-a40b-d4ea34ffba45 to remote] DEBUG org.apache.http.impl.execchain.MainClientExec  - Stale connection check
34729 [Forwarding findElement on session 074fe5e2-d2bd-4f5b-a40b-d4ea34ffba45 to remote] DEBUG org.apache.http.wire  - http-outgoing-0 << "[read] I/O error: Read timed out"
34729 [Forwarding findElement on session 074fe5e2-d2bd-4f5b-a40b-d4ea34ffba45 to remote] DEBUG org.apache.http.impl.conn.DefaultManagedHttpClientConnection  - http-outgoing-0: set socket timeout to 10800000
34729 [Forwarding findElement on session 074fe5e2-d2bd-4f5b-a40b-d4ea34ffba45 to remote] DEBUG org.apache.http.impl.execchain.MainClientExec  - Executing request POST /session/074fe5e2-d2bd-4f5b-a40b-d4ea34ffba45/element HTTP/1.1
34729 [Forwarding findElement on session 074fe5e2-d2bd-4f5b-a40b-d4ea34ffba45 to remote] DEBUG org.apache.http.impl.execchain.MainClientExec  - Target auth state: UNCHALLENGED
34729 [Forwarding findElement on session 074fe5e2-d2bd-4f5b-a40b-d4ea34ffba45 to remote] DEBUG org.apache.http.impl.execchain.MainClientExec  - Proxy auth state: UNCHALLENGED
34729 [Forwarding findElement on session 074fe5e2-d2bd-4f5b-a40b-d4ea34ffba45 to remote] DEBUG org.apache.http.headers  - http-outgoing-0 >> POST /session/074fe5e2-d2bd-4f5b-a40b-d4ea34ffba45/element HTTP/1.1
34729 [Forwarding findElement on session 074fe5e2-d2bd-4f5b-a40b-d4ea34ffba45 to remote] DEBUG org.apache.http.headers  - http-outgoing-0 >> Content-Type: application/json; charset=utf-8
34729 [Forwarding findElement on session 074fe5e2-d2bd-4f5b-a40b-d4ea34ffba45 to remote] DEBUG org.apache.http.headers  - http-outgoing-0 >> Content-Length: 44
34729 [Forwarding findElement on session 074fe5e2-d2bd-4f5b-a40b-d4ea34ffba45 to remote] DEBUG org.apache.http.headers  - http-outgoing-0 >> Host: localhost:10800
34729 [Forwarding findElement on session 074fe5e2-d2bd-4f5b-a40b-d4ea34ffba45 to remote] DEBUG org.apache.http.headers  - http-outgoing-0 >> Connection: Keep-Alive
34729 [Forwarding findElement on session 074fe5e2-d2bd-4f5b-a40b-d4ea34ffba45 to remote] DEBUG org.apache.http.headers  - http-outgoing-0 >> User-Agent: Apache-HttpClient/4.5.3 (Java/1.8.0_181)
34729 [Forwarding findElement on session 074fe5e2-d2bd-4f5b-a40b-d4ea34ffba45 to remote] DEBUG org.apache.http.headers  - http-outgoing-0 >> Accept-Encoding: gzip,deflate
34729 [Forwarding findElement on session 074fe5e2-d2bd-4f5b-a40b-d4ea34ffba45 to remote] DEBUG org.apache.http.wire  - http-outgoing-0 >> "POST /session/074fe5e2-d2bd-4f5b-a40b-d4ea34ffba45/element HTTP/1.1[\r][\n]"
